RowName,Chinese,English
Pipeline,直线管道,Pipeline
L_Pipeline,L形管道,L_Pipeline
Cross_Pipeline,十字形管道,Cross_Pipeline
T_Pipeline,T形管道,T_Pipeline
Double_Sorter,2行分拣器,Double_Sorter
Triple_Sorter,3行分拣器,Triple_Sorter
ElectricPole,基础电线杆,ElectricPole
M_ElectricPole,中级电线杆,M_ElectricPole
Wireless_ElectricPole,无线传输电线杆,Wireless_ElectricPole
Wind_PowerStation,风力发电站,Wind_PowerStation
Coal_PowerStation,矿石发电站,Coal_PowerStation
Land_PowerStation,地热发电站,Land_PowerStation
Solar_PowerStation,太阳能发电站,Solar_PowerStation
Nuclar_PowerStation,核能发电站,Nuclar_PowerStation
Satellite_PowerStation,卫星发电站,Satellite_PowerStation
Tidal_PowerStation,引力发电站,Tidal_PowerStation
Miner_A,采矿机A,Miner_A
Miner_A_Big,大型采矿机A,Miner_A_Big
OilWell_A,采油井A,OilWell_A
OilWell_A_Big,大型采油井A,OilWell_A_Big
GasWell_A,采气井A,GasWell_A
GasWell_A_Big,大型采气井A,GasWell_A_Big
DockStation,初级入口拓展坞,DockStation
M_DockStation,中级入口拓展坞,M_DockStation
L_DockStation,高级入口拓展坞,L_DockStation
Exit_DockStation,初级出口拓展坞,Exit_DockStation
M_Exit_DockStation,中级出口拓展坞,M_Exit_DockStation
L_Exit_DockStation,高级出口拓展坞,L_Exit_DockStation
WareHouse,小型储物仓,WareHouse
M_WareHouse,中型储物仓,M_WareHouse
L_WareHouse,大型储物仓,L_WareHouse
OreRefiner,初级矿石处理机,OreRefiner
M_OreRefiner,中级矿石处理机,M_OreRefiner
L_OreRefiner,高级矿石处理机,L_OreRefiner
LiquidRefiner,初级液体处理机,LiquidRefiner
M_LiquidRefiner,中级液体处理机,M_LiquidRefiner
L_LiquidRefiner,高级液体处理机,L_LiquidRefiner
GasRefiner,初级气体处理机,GasRefiner
M_GasRefiner,中级气体处理机,M_GasRefiner
L_GasRefiner,高级气体处理机,L_GasRefiner
MaterialProcessor,初级素材加工机,MaterialProcessor
M_MaterialProcessor,中级素材加工机,M_MaterialProcessor
L_MaterialProcessor,高级素材加工机,L_MaterialProcessor
WeaponMaker,初级武器制作机,WeaponMaker
M_WeaponMaker,中级武器制作机,M_WeaponMaker
L_WeaponMaker,高级武器制作机,L_WeaponMaker
Deliver,初级交付建筑,Deliver
M_Deliver,中级交付建筑,M_Deliver
L_Deliver,高级交付建筑,L_Deliver
